GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,POP1990,POP2000,POP2010,POP2020,Wht1990,Wht2000,Wht2010,Wht2020,Blk1990,Blk2000,Blk2010,Blk2020,AmIn1990,AmIn2000,AmIn2010,AmIn2020,Asn1990,Asn2000,Asn2010,Asn2020,PacIs1990,PacIs2000,PacIs2010,PacIs2020,Othr1990,Othr2000,Othr2010,Othr2020,TwoR1990,TwoR2000,TwoR2010,TwoR2020,Lat1990,Lat2000,Lat2010,Lat2020
G4700370011400,2010,Tennessee,47,Davidson County,37,11400,5559,5296,4461,5032,1748,1550,1606,2830,3778,3539,2583,1655,14,19,17,31,9,28,22,50,0,1,9,7,10,62,108,153,0,97,116,306,21,97,207,288
G4700370011500,2010,Tennessee,47,Davidson County,37,11500,4074.36,4118.54,3724,3819,3584.84,3085.47,2603,2881,455.57,883.37,951,569,4,16,18,16,24.36,42,45,58,1.59,1,2,1,4,26.89,37,63,0,63.81,68,231,16,44,75,201
G4700370011600,2010,Tennessee,47,Davidson County,37,11600,5428.56,5221.36,4751,5257,4445.09,3375.44,3042,3850,939.42,1597.63,1435,862,10,19,17,9,22.64,75,109,80,1.41,0,0,2,10,78.11,59,106,0,76.19,89,348,29,117,164,283
G4700370011700,2010,Tennessee,47,Davidson County,37,11700,6335,6169,6044,6055,3694,3113,3473,4193,2581,2755,2221,1202,23,19,19,24,18,33,30,80,2,5,1,0,17,113,144,142,0,131,156,414,51,277,312,426
G4700370011800,2010,Tennessee,47,Davidson County,37,11800,4260,4112,2673,2577,383,265,373,923,3827,3697,2197,1475,14,6,3,7,21,8,14,24,0,0,0,5,15,58,36,39,0,78,50,104,41,99,50,92
G4700370011900,2010,Tennessee,47,Davidson County,37,11900,2475,2468,2429,2982,182,228,664,1410,2286,2014,1616,1128,4,5,5,25,1,6,3,39,0,0,1,4,2,109,92,149,0,106,48,227,2,154,256,338
G4700370012100,2010,Tennessee,47,Davidson County,37,12100,3008,2710,2431,2649,2460,2091,2137,2271,496,468,178,113,17,16,6,5,29,29,37,34,0,1,2,0,6,60,22,38,0,45,49,188,19,81,88,125
G4700370012200,2010,Tennessee,47,Davidson County,37,12200,2566,2508,2056,2187,2205,1783,1620,1786,340,560,343,179,8,15,12,3,9,17,16,29,0,1,0,0,4,83,15,27,0,49,50,163,18,109,67,105
G4700370012600,2010,Tennessee,47,Davidson County,37,12600,2182.76,1787.83,1999,2005,530.87,306.96,385,679,1633.9,1428.87,1531,1121,1,4,0,11,16,11,5,17,0,0,5,0,1,11,27,43,0,26,46,134,6,21,47,100
G4700370012701,2010,Tennessee,47,Davidson County,37,12701,5424.21,5267.75,5150,5963,409.14,246.97,261,510,4996.07,4914.79,4756,5078,2,4,4,24,10,10,12,22,0,4,2,0,7,24,45,120,0,64,70,209,19,34,62,236
